Time,Objective,Best Bound
9.08,1e+100,0.0
54.72,2082.0,0.0
73.24,1631.0,0.0
194.53,1491.0,0.0
262.81,1224.0,0.0
353.28,1180.0,0.0
515.15,1145.0,0.0
515.28,775.0,0.0
673.24,695.0,0.0
673.36,693.0,0.0
673.47,692.0,0.0
673.57,688.0,0.0
673.73,681.0,0.0
811.17,649.0,0.0
1330.12,649.0,0.12
1337.2,649.0,0.57
1451.89,649.0,1.26
1506.72,649.0,2.15
1588.05,642.0,4.88
1620.82,630.0,4.92
1715.9,627.0,18.95
1722.91,627.0,28.0
1800.45,621.0,28.0
1806.54,620.0,28.0
1904.91,617.0,28.0
1921.81,616.0,28.0
2315.42,614.0,28.0
2413.65,607.0,28.0
2531.42,603.0,28.0
2727.97,598.0,28.0
6867.32,595.0,28.0
11777.26,580.0,28.0
17498.22,579.0,28.0
87053.85,572.0,28.0
87163.62,567.0,28.0
88100.46,565.0,28.0
90148.07,561.0,28.0
90740.22,559.0,28.0
93067.75,557.0,28.0
93795.91,556.0,28.0
172800.00,556.0,28.0
